tag,labelhash,namehash
week.eth,0x2642c636a2faf27f3ecf120eacb2b2bc54a545a0b2b14cb891d1f5616c630e70,0x8adb8acf3edffeca08dc9dca00af0287dd95b4014add97ed900b568a08a9e858
bear.eth,0xb16cbf3a6d7a38e55c2ca442645e8abbff9fc6dda849ef05f7e943d8485bf65e,0xf8507a67447e3906c72b84b8afd41712a0a130bc5c26d273a947ac2eca3ce118
insect.eth,0xbf06d5f0d1fe09de9679bbd551deba1abf7ac491e63fb16b7679a69a77ade326,0xe7bad393ec6ba5d1a1cad805be732a99f206afc8e0c9a838610c6b55809e8201
pig.eth,0x43f45c916e680a40b61ae0d432cfa4c63842b56bb9582eeabf7aa8f24f50d8fd,0x5ea33f344c0beb0a9791c8556473464ba09db40fd91523e0d6fb6636025f2650
banana.eth,0x21fc98cf70265ae93feb6ced2d2b03192146726c52183d928f7f8b78d7764bb1,0xd5185c4767c00e3f06478401fcf76bf6a186c5a5c56559d4f9b2535b5a577852
brain.eth,0x7526c60246ed33ea02c4670ae0b642ec9eff587c3f395e57b320b7f8c0543bce,0x2f52f69a16955d818dc26a4739712a13ae49e18d0cc008b35d80d28cef81df6f
elephant.eth,0x468412432735e704136dcef80532ffc5db671fd0361b59f77d1462bcb83995e9,0x02f84048dd14d862ce6d7130e7e018791e4bfba04825b025ea97cfd16ef96606
state.eth,0x69e39af32bd0cc2d5f8ad822a3afcd7fe8d7211e4ca7c42654cdbda7a9b74516,0xeb437edca9dbd63ff9230ca85679c64189f0f6773656f6d09fccdccf18cc6601
disease.eth,0x7ccab7012cd3dcdc5a03e868ddbe94a5e4291daf392bda894ca3c1963acc36aa,0x682cfc7f25458fe43a588ae86446e57d77c8cc65996ba33b1c5d8cddf5711ecd
honey.eth,0x57d0f60e08241351b54f8113e94cfd454718abeafc40a825e71ea895fc8546a6,0x2c31088862d72d5990ecb7d390e3364307e76d0bf7c6c5ce7043882226879357
autumn.eth,0x31be42fbf36e98b6db0805618b6c5f8204fc2258a4bf8133cfb4f9c020a6bc70,0x9b9c32abd36493bf70e3cca4aa66a3ff6862f0f574b28a282278a1559b1ebc06
energy.eth,0xf8cf0bbe451044b2f11874ca184bb5ae95c4fe238221f5163e51d0a1794419f0,0x99f1feb19b8465851ff5e6307b15794f19833f140d56bec9b779f733df982f34
basketball.eth,0x33ed5d85110e98b4d3bc1c34ff7c6f2a227e39f574708a07df6678673977b975,0xfaed32a34a04f6ebdabd32ab56aa464787dd18acf40cbc52673c0f1fccaf5f73
geometry.eth,0x8620175671c3eaedd7068638cd926b94bc5cf693af3ba73a651f8ec29f0f7b18,0x61dfbcba1447cf542d527b0e20d969cc2a0fbb8b2e2345ef1bd703c0320e9d23
desert.eth,0x6f89cd8115c9405eb5e44589ea800cb54850ff3333b2e80388df60011c3a51bb,0xa41d55e607171563aef75a08eacd700554cee4f2234eb30c26614bd79f473ac2
clothing.eth,0xa15cdc1863dcc112d9b118a281e70bb9095faff015e25850139d4c773a567233,0x7dfe639ccd82818da49ec6c859dccab027d7cf5168c03c33561549681add5e78
telephone.eth,0xbebb6164c26da68729e51146d23749454e4328968d1776337f5988cee8747079,0x2e0c2b1c111b00d435a4fac3529392a29dd9dd2da069fb45c7e57132afb7fcb7
carbon.eth,0x9a854c99b448d3f3845a1186ecd2961be9cc90459bf94e5d02d360d66c07f2ac,0xac7da07b01515397325dab4a0927c7baea489d6df9732d1943406218544bb6a3
lake.eth,0x0aeb25bf017db5de72d3c5bf18b5b1886691855e8cb1d4cd875eea260c189ec1,0x10a23eed119688f6cf5f691645ca7222669f93661e4f0c62ab7fbfa881a0b4e1
transport.eth,0x2032d2c418cd62478a7259766abef5fcaa10a5b1fbaa3a09d3727ba5757cf7ab,0xb011d1ae8b141aac58473d78b424427269a37c41a752d04d818a191d8947cff9
